iter	Passed	Remaining
0	14	4955
1	27	4731
2	40	4675
3	55	4774
4	69	4797
5	83	4793
6	98	4807
7	113	4854
8	128	4871
9	142	4831
10	154	4754
11	167	4712
12	181	4698
13	193	4636
14	205	4590
15	217	4547
16	235	4607
17	251	4630
18	267	4662
19	281	4637
20	297	4658
21	316	4717
22	340	4835
23	356	4844
24	373	4853
25	395	4924
26	416	4980
27	431	4966
28	454	5031
29	475	5075
30	498	5134
31	516	5137
32	532	5112
33	548	5101
34	563	5073
35	576	5030
36	593	5022
37	608	4996
38	624	4980
39	640	4965
40	655	4942
41	670	4916
42	683	4882
43	698	4858
44	714	4843
45	728	4815
46	747	4815
47	767	4830
48	788	4844
49	806	4837
50	826	4846
51	843	4833
52	860	4819
53	872	4781
54	882	4732
55	894	4696
56	907	4666
57	1036	5219
58	1065	5254
59	1081	5227
60	1097	5198
61	1112	5166
62	1119	5099
63	1128	5042
64	1147	5033
65	1184	5096
66	1221	5158
67	1253	5197
68	1269	5170
69	1288	5155
70	1303	5122
71	1319	5096
72	1338	5079
73	1352	5045
74	1371	5027
75	1383	4988
76	1400	4966
77	1418	4944
78	1434	4920
79	1446	4883
80	1458	4845
81	1470	4805
82	1483	4770
83	1495	4735
84	1507	4699
85	1518	4660
86	1529	4622
87	1539	4582
88	1552	4551
89	1565	4522
90	1578	4494
91	1594	4472
92	1608	4445
93	1616	4401
94	1628	4371
95	1641	4343
96	1654	4316
97	1664	4280
98	1678	4255
99	1691	4228
100	1707	4209
101	1719	4181
102	1731	4152
103	1742	4122
104	1752	4090
105	1766	4066
106	1780	4043
107	1796	4024
108	1808	3999
109	1821	3974
110	1833	3948
111	1844	3919
112	1857	3895
113	1871	3873
114	1884	3850
115	1894	3820
116	1905	3794
117	1917	3769
118	1929	3744
119	1941	3721
120	1952	3695
121	1964	3670
122	1975	3646
123	1987	3621
124	1998	3596
125	2009	3571
126	2021	3548
127	2032	3525
128	2043	3501
129	2057	3482
130	2070	3461
131	2083	3440
132	2095	3419
133	2108	3398
134	2121	3378
135	2133	3357
136	2146	3337
137	2157	3313
138	2168	3291
139	2180	3270
140	2191	3247
141	2202	3226
142	2213	3204
143	2223	3181
144	2235	3160
145	2246	3139
146	2258	3119
147	2273	3102
148	2286	3084
149	2299	3065
150	2310	3045
151	2321	3024
152	2334	3005
153	2347	2987
154	2360	2969
155	2373	2951
156	2384	2931
157	2398	2914
158	2412	2897
159	2425	2880
160	2435	2858
161	2447	2840
162	2460	2823
163	2471	2803
164	2484	2785
165	2497	2768
166	2510	2751
167	2522	2732
168	2536	2716
169	2550	2700
170	2565	2685
171	2579	2669
172	2592	2652
173	2605	2635
174	2617	2617
175	2631	2601
176	2644	2584
177	2658	2568
178	2670	2550
179	2682	2533
180	2696	2517
181	2709	2501
182	2721	2483
183	2734	2466
184	2746	2449
185	2758	2432
186	2772	2416
187	2785	2400
188	2796	2382
189	2809	2365
190	2821	2349
191	2833	2331
192	2844	2313
193	2856	2296
194	2867	2279
195	2878	2261
196	2890	2244
197	2902	2228
198	2913	2210
199	2926	2194
200	2938	2178
201	2950	2161
202	2961	2144
203	2973	2128
204	2986	2112
205	2999	2096
206	3011	2080
207	3024	2064
208	3037	2049
209	3049	2033
210	3061	2016
211	3073	2000
212	3086	1985
213	3099	1969
214	3111	1953
215	3123	1937
216	3136	1922
217	3148	1906
218	3158	1889
219	3171	1873
220	3184	1858
221	3195	1842
222	3207	1826
223	3220	1811
224	3233	1796
225	3246	1781
226	3259	1765
227	3271	1750
228	3284	1735
229	3296	1719
230	3306	1703
231	3318	1688
232	3330	1672
233	3342	1657
234	3355	1641
235	3367	1626
236	3379	1611
237	3391	1596
238	3402	1580
239	3415	1565
240	3427	1550
241	3438	1534
242	3451	1519
243	3463	1504
244	3475	1489
245	3487	1474
246	3498	1458
247	3509	1443
248	3519	1427
249	3530	1412
250	3542	1397
251	3552	1381
252	3564	1366
253	3575	1351
254	3585	1335
255	3597	1320
256	3608	1305
257	3619	1290
258	3630	1275
259	3641	1260
260	3651	1245
261	3662	1230
262	3673	1215
263	3684	1200
264	3695	1185
265	3707	1170
266	3720	1156
267	3731	1141
268	3743	1127
269	3755	1112
270	3767	1098
271	3779	1083
272	3791	1069
273	3802	1054
274	3814	1040
275	3826	1026
276	3839	1011
277	3851	997
278	3863	983
279	3874	968
280	3887	954
281	3897	939
282	3910	925
283	3922	911
284	3934	897
285	3945	882
286	3959	869
287	3974	855
288	3988	841
289	4000	827
290	4012	813
291	4024	799
292	4037	785
293	4051	771
294	4066	758
295	4082	744
296	4096	730
297	4111	717
298	4126	703
299	4142	690
300	4159	677
301	4174	663
302	4188	649
303	4204	636
304	4218	622
305	4231	608
306	4242	594
307	4254	580
308	4265	566
309	4277	551
310	4289	537
311	4300	523
312	4311	509
313	4322	495
314	4333	481
315	4344	467
316	4355	453
317	4368	439
318	4381	425
319	4394	411
320	4405	398
321	4418	384
322	4430	370
323	4442	356
324	4454	342
325	4467	328
326	4480	315
327	4492	301
328	4505	287
329	4516	273
330	4530	260
331	4543	246
332	4555	232
333	4570	218
334	4584	205
335	4597	191
336	4611	177
337	4626	164
338	4641	150
339	4657	136
340	4672	123
341	4684	109
342	4696	95
343	4708	82
344	4721	68
345	4733	54
346	4745	41
347	4758	27
348	4770	13
349	4782	0
